item_category,item_name,item_description,item_price,item_price_big,
Dingslebener Fassbrause,,,0.2,0.4,
Dingslebener Fassbrause,Zitrone,,2.90 €,3.90 €,
Dingslebener Fassbrause,Orange,,2.90 €,3.90 €,
Dingslebener Fassbrause,Osta Cola,,2.90 €,3.90 €,
Dingslebener Fassbrause,Rote Brause,,2.90 €,3.90 €,
Alkoholfreie Getränke,,,0.25,0.75,
Alkoholfreie Getränke,TWQ Pur,,2.50 €,5.90 €
Alkoholfreie Getränke,TWQ Medium,,2.50 €,5.90 €
Alkoholfreie Getränke,,,0.2,0.4,
Alkoholfreie Getränke,Waldmeister,,2.90 €,3.90 €
Alkoholfreie Getränke,,,0.25,0.4,
Alkoholfreie Getränke,TWQ Tonic,,2.90 €,3.90 €
Alkoholfreie Getränke,Ginger Ale,,2.90 €,3.90 €
Alkoholfreie Getränke,,,,0.25,
Alkoholfreie Getränke,Eistee Zitrone oder Pfirsich,,,3.80 €,
Alkoholfreie Getränke,,,,0.33,
Alkoholfreie Getränke,Cola-Cola Original,,,3.50 €,
Alkoholfreie Getränke,Coca-Cola Zero,,,3.50 €,
Fahner Säfte,,,0.2,0.4,
Fahner Säfte,Orange,,2.90 €,3.90 €,
Fahner Säfte,Apfel,,2.90 €,3.90 €,
Fahner Säfte,Schwarze Johannesbeere,,2.90 €,3.90 €,
Fahner Säfte,Sauerkirsche,,2.90 €,3.90 €,
Fahner Säfte,Banane,,2.90 €,3.90 €,
Fahner Säfte,Tomaten,,2.90 €,3.90 €,
Fahner Säfte,Kiba,,2.90 €,3.90 €,
Fahner Säfte,Shorle,,2.80 €,3.80 €,
Fassbier,,,0.3,0.5,
Fassbier,Köstritzer Edelpils,,3.30 €,5.10 €,
Fassbier,Köstritzer Kellerbier,,3.30 €,5.10 €,
Fassbier,Bennedektinner Hell,,3.30 €,5.10 €,
Fassbier,Bennedektinner Hefe,,3.50 €,5.30 €,
Fassbier,Radler,,3.30 €,5.10 €,
